ter·rify 	[ˈterɪfaɪ] 	:	1.동사 (몹시) 무섭게[겁먹게] 하다Flying terrifies her.비행기를 타는 것은 그녀를 무섭게 한다[비행기를 타는 것이 그녀는 무섭다].
man·age 	[ˈmænɪdʒ] 	:	1.동사 (힘든 일을) 간신히[용케] 해내다, (어떻게든) …하다[해내다] In spite of his disappointment, he managed a weak smile.  그는 실망감에도 불구하고 간신히 희미한 미소를 지어 보였다.  2.동사 (문제·곤경을 헤치며) 살아 나가다[지내다] I don’t know how she manages on her own with four kids.  난 그녀가 혼자서 아이들 네 명과 어떻게 살아 나가는지 모르겠어.  3.동사 (많지 않은 돈으로) 살아 내다 He has to manage on less than £100 a week.  그는 일주일에 100파운드가 못 되는 돈으로 살아 내야 한다.
|all the |way 		:	1.내내[시종] She didn’t speak a word to me all the way back home.  그녀는 집으로 돌아오는 내내 나에게 한 마디 말도 하지 않았다.  2.완전히; 온 힘을 다해 I’m fighting him all the way.  나는 그와 온 힘을 다해 싸우고 있다.
an·nounce 	[əˈnaʊns] 	:	1.동사 발표하다, 알리다 They haven’t formally announced their engagement yet.  그들이 약혼을 아직 공식적으로 발표하지는 않았다.  2.동사 (공공장소에서) 방송으로 알리다 Has our flight been announced yet?  우리가 탈 비행기에 대한 안내 방송이 이미 나왔니?  3.동사 (큰 소리로 진지하게) 선언[단언]하다 ‘I’ve given up smoking,’ she announced.  ‘나 담배 끊었어.’ 그녀가 단언했다
tempt 	[tempt] 	:	1.동사 (좋지 않은 일을 하도록) 유혹하다[부추기다] I was tempted by the dessert menu.  나는 디저트 메뉴에 유혹당했다.  2.동사 (어떤 것을 제의하거나 하여) 유도[설득]하다 How can we tempt young people into engineering?  우리가 어떻게 젊은이들이 공학 분야로 들어오도록 유도할 수 있을까요?
right under your nose 		:	1. 바로 네 앞에서.
ex·cep·tion·al 	[ɪkˈsepʃənl] 	:	1.형용사 이례적일 정도로 우수한, 특출한 At the age of five he showed exceptional talent as a musician.  그는 다섯 살의 나이에 음악에 특출한 재능을 보였다.  2.형용사 극히 예외적인 This deadline will be extended only in exceptional circumstances.  이 기한은 오직 극히 예외적인 상황에서만 연장될 것이다.
buzz 	[bʌz] 	:	1.동사 윙윙거리다 Bees buzzed lazily among the flowers.  벌들이 꽃들 사이로 한가로이 윙윙거렸다.  2.동사 윙하는 소리를 내다 The doorbell buzzed loudly.  초인종이 윙하고 크게 울렸다.  3.동사 부산스럽다, 활기가 넘치다 The place was buzzing with journalists.  그 장소는 기자들로 부산스러웠다.
res·ig·na·tion 	[ˌrezɪɡˈneɪʃn] 	:	1.명사 사직, 사임 a letter of resignation  사직서[원]  2.명사 사직서[원] to offer/hand in/tender your resignation  사직서를 제출하다[내다]  3.명사 (괴롭거나 힘든 일을) 받아들임, 감수(甘受), 체념 They accepted their defeat with resignation.  그들은 체념을 하고 받아들였다.
af·fili·ate 		:	1.동사 (더 큰 회사기관 등과) 제휴[연계]하다 The hospital is affiliated with the local university.  그 병원은 지역 대학과 제휴하고 있다.  2.동사 가입하다, 연계되다 The majority of people questioned affiliated themselves with a religious group.  설문에 응한 사람들 대부분이 종교 단체에 가입해 있었다.[also V  3.명사 계열(회)사
for |good 		:	1.영원히 This time she’s leaving for good.  이번에는 그녀가 영원히 떠난다.
rain·fall 	[ˈreɪnfɔːl] 	:	1.명사 강우(량) There has been below average rainfall this month.  이번 달에는 강우량이 평균 미만이었다.
ad·dress 		:	1.명사 주소 What’s your name and address?  성함과 주소가 어떻게 되세요?  2.명사 (인터넷상의) 주소, 어드레스 What’s your email address?  이메일 주소가 어떻게 되세요?  3.명사 연설 tonight’s televised presidential address  오늘밤에 있을 대통령의 텔레비전 연설
high·fli·er 	[-fláiər] 	:	1.명사 높이 나는 사람[새] 2.명사 야망[포부]이 큰 사람, 야심가 3.명사 우수한 인재, 수완가
|managing di|rector 		:	1. 명사 상무이사
dis·abil·ity	[ˌdɪsəˈbɪləti] 	:	1.명사 (신체적·정신적) 장애 a physical/mental disability  신체/정신 장애  2.명사 (신체적·정신적) 장애(가 있는 상태) He qualifies for help on the grounds of disability.  그는 장애가 있어서 도움을 청할 자격이 있다.
end up with 		:	1. 결국 ~하게 되다
paper 	[ˈpeɪpə(r)] 	:	1.명사 종이 a piece/sheet of paper  종이 한 장  2.명사 신문 a local/national paper  지방지/전국지  3.명사 (편지개인적인 자료 등의) 서류 His desk was covered with books and papers.  그의 책상은 책과 서류로 뒤덮여 있었다.
|write something⇄|off 		:	1.(부채를) 탕감하다; ~을 실패한[무가치한] 것으로 보다[인식하다] to write off a debt / an investment  부채를 탕감하다/투자를 실패한 것으로 보다  2.(특히 차량을) 완전히 박살을 내다
mor·tal 	[ˈmɔːrtl] 	:	1.형용사 영원히 살 수는 없는, 언젠가는 반드시 죽는 We are all mortal.  우리 모두 언젠가는 반드시 죽는다.  2.형용사 치명적인, 대단히 심각한 a mortal blow/wound  치명적인 타격[치명타]/치명상  3.형용사 목숨을 건, 필사적인 mortal enemies  필사적인 적들
mere 	[mɪr] 	:	1.형용사 겨우 …의, (한낱) …에 불과한 It took her a mere 20 minutes to win.  그녀가 이기는 데는 겨우 20분밖에 안 걸렸다.  2.형용사 단지 …만의(무엇이 있다는 사실 자체가 뚜렷한 영향을 미치기에 충분하다는 뜻을 나타낼 때 씀) His mere presence made her feel afraid.  단지 그가 거기 있다는 사실만으로도 그녀는 두려웠다.  3.명사 작은 호수
ge·nius 	[ˈdʒiːniəs] 	:	1.명사 천재성 the genius of Shakespeare  셰익스피어의 천재성  2.명사 천재, 귀재 a mathematical/comic, etc. genius  수학/코미디의 천재  3.명사 특별한 재능 He had a genius for making people feel at home.  그는 사람을 편하게 해 주는 데 특별한 재능이 있었다.
de·mo·tion 	[dimóuʃən] 	:	1. 명사 [U] 좌천; 강등, 격하
better off 		:	1. 형편이 더 나은
ride |shotgun 		:	1. (승용차·트럭의) 조수석에 타다
pay a visit[call]		:	1.방문하다 I must pay a visit to the doctor.  나는 의사 선생님을 방문해야 한다.
|after |all 		:	1.(예상과는 달리) 결국에는 So you made it after all  그래 네가 결국에는 (그것을) 해냈구나  2.어쨌든(설명·이유를 덧붙일 때) He should have paid. He suggested it, after all.  그가 돈을 냈어야지. 어쨌든 그가 제안을 한 거니까. 
chair·man 	[|tʃermən] 	:	1.명사 (회의의) 의장 2.명사 (회사·위원회 등의) 회장 the chairman of the board of governors  (학교) 이사회 회장
trem·ble 	[ˈtrembl] 	:	1.동사 (몸을) 떨다, 떨리다 My legs were trembling with fear.  나는 겁이 나서 다리가 떨렸다.  2.동사 (가볍게) 흔들리다[떨리다] leaves trembling in the breeze  미풍에 흔들리는 나뭇잎들  3.동사 (걱정두려움으로 가슴이) 떨리다 I trembled at the thought of having to make a speech.  나는 연설을 해야 한다는 생각에 가슴이 떨렸다.
plot 	[plɑːt] 	:	1.명사 (소설극영화 등의) 구성[플롯/줄거리] a conventional plot about love and marriage  사랑과 결혼에 대한 전통적인 구성  2.명사 음모 3.명사 (특정 용도의) 작은 땅 조각, 터, 대지 She bought a small plot of land to build a house on.  그녀는 집을 지으려고 작은 대지를 하나 샀다
be after 		:	1. …을 추구하다, …을 찾다
go bust 		:	1.파산하다 The country had watched its oil- fueled boom go bust.  그 나라는 석유 경기가 파탄하는 꼴을 보게 되었다.
be about to do something		:	1.막 …하려는 참이다 I was just about to ask you the same thing.  나도 네게 똑같은 걸 막 물어보려던 참이었어.
|go |under		:	1.가라앉다 2.도산[파산]하다 The firm will go under unless business improves.  영업이 개선되지 않으면 그 회사는 도산할 것이다.
pro·spect		:	1.명사 (어떤 일이 있을) 가망[가능성] There is no immediate prospect of peace.  즉시 평화가 찾아올 가망은 없다.  2.명사 예상 an exciting prospect  신나는 예상  3.명사 (성공할) 전망 good job/employment/career prospects  좋은 일자리/취직/출세 전망
back·lash 	[ˈbæklæʃ] 	:	1.명사 (사회 변화 등에 대한 대중의) 반발 The government is facing an angry backlash from voters over the new tax.  그 새로 생긴 세금 때문에 정부가 유권자들의 심한 반발에 직면해 있다.
dub 	[dʌb] 	:	1.동사 별명을 붙이다 The Belgian actor Jean Claude Van Damme has been dubbed ‘Muscles from Brussels’.  벨기에 출신 배우인 장 클로드 반담은 ‘브뤼셀에서 온 근육질’이라는 별명으로 불려 왔다.  2.동사 (영화 등을 다른 언어로) 재녹음하다[더빙하다] an American movie dubbed into Italian  이탈리아어로 더빙된 미국 영화  3.동사 믹싱[더빙]하다(여러 녹음에서 음을 따 섞어 곡을 만드는 것)
odd·ball 	[|ɑːdbɔːl] 	:	1.명사 괴짜 2.형용사 oddball characters  괴짜인 사람들
go on to		:	1. …으로 나아가다.
|go |on to something		:	1.(다음 항목으로) 넘어가다 Let’s go on to the next item on the agenda.  다음 안건으로 넘어가기로 하죠.
|go |on to do something		:	1.(무엇을 끝마친 뒤에) 이어서 ~을 하기 시작하다 The book goes on to describe his experiences in the army.  그 책은 이어서 그의 군대 경험을 묘사하기 시작한다.
as·so·ci·ate 		:	1.동사 연상하다, 결부[연관]짓다 I always associate the smell of baking with my childhood.  나는 빵 굽는 냄새를 맡으면 항상 어린 시절이 연상된다.  2.동사 (좋지 않은 사람들과) 어울리다 I don’t like you associating with those people.  난 네가 저 사람들과 어울리는 거 안 좋아.  3.동사 찬동[지지]을 표하다 May I associate myself with the Prime Minister’s remarks?  총리님 발언에 제가 찬동을 표해도 될까요?
associate manager 		:	1.대리 2.부매니저 3.과장
insist on 		:	1. 동사 …을 주장하다, …을 역설하다; …을 강요하다; …을 강조하다.
in|sist on/upon something		:	1.~을 (강력히) 고집[요구]하다 We insisted on a refund of the full amount.  우리는 전액 환불을 고집했다.
ask for 		:	1.…을 찾아오다 2.<물건을> 청하다, 청구하다 3.필요로 하다
as·sist·ant 	[əˈsɪstənt] 	:	1.명사 조수, 보조원 My assistant will now demonstrate the machine in action.  이제 제 보조원이 그 기계의 작동을 시범으로 보여 드리겠습니다.  2.명사 a sales assistant in a department store  백화점의 판매원  3.명사 대학생 어학 교사(외국에 나가 그 나라 학교에서 자기 나라 언어를 가르치는 대학생)
ex·ecu·tive 	[ɪɡˈzekjətɪv] 	:	1.명사 (기업이나 조직의) 경영[운영] 간부[이사/중역] advertising/business/sales, etc. executives  홍보/영업/판매 등의 이사  2.명사 (기업이나 조직의) 경영[운영]진 The union’s executive has / have yet to reach a decision.  노조 집행부에서 아직 결정을 내리지 못했다.  3.명사 행정부
executive assistant 		:	1. 명사 비서, 보좌관.
ra·ther 	[ˈræðər] 	:	1.부사 (흔히 비판실망놀람을 나타내는 표현에서) 꽤, 약간, 상당히 The instructions were rather complicated.  그 사용 설명서는 약간 복잡했다.  2.부사 좀, 약간(동사와 함께 써서 진술의 강도를 완화시킬 때) I rather suspect we’re making a mistake.  나는 우리가 실수를 하고 있는 것이 아닌가 하는 의심이 좀 든다.  3.부사 더 정확히 말하면 She worked as a secretary, or rather, a personal assistant.  그녀는 비서로, 더 정확히 말하면, 개인 조수로 일했다.
lead 	[liːd] 	:	1.동사 (앞장서서) 안내하다[이끌다/데리고 가다] He led us out into the grounds.  그가 우리를 이끌고 운동장으로 나갔다.  2.동사 (사물∙장소로) 연결되다 the pipe leading from the top of the water tank  물탱크 꼭대기에서 연결되는 파이프  3.동사 (도로가 특정 방향∙장소로) 이어지다[통하다] A path led up the hill.  언덕 위로 오솔길이 하나 나 있었다.
quan·tity 	[|kwɑːntəti] 	:	1.명사 (세거나 잴 수 있는) 양, 수량, 분량 a large/small quantity of sth  많은/적은 양[분량]  2.명사 (일정한 단위로 측정한) 양 The data is limited in terms of both quality and quantity.  그 데이터는 질과 양 두 가지 측면에서 다 제한적이다.  3.명사 다량, 다수 The police found a quantity of drugs at his home.  경찰이 그의 집에서 다량의 마약을 발견했다.
new·comer 	[|nuːkʌmə(r)] 	:	1. 명사 신입자, 신참자
loathe 	[loʊð] 	:	1.동사 혐오하다 I loathe modern art.  난 현대 미술을 혐오한다.
loath·ing 	[|loʊðɪŋ] 	:	1.명사 혐오(감), 증오(심) She looked at her attacker with fear and loathing.  그녀는 자기를 공격하는 자를 공포와 증오심에 가득 차서 바라보았다
ob·nox·ious 	[əb|nɑːkʃəs] 	:	1.형용사 아주 불쾌한, 몹시 기분 나쁜 obnoxious behaviour  아주 불쾌한 행동
put up with 		:	1. 동사 참다, 참고 견디다.
com·prom·ise 	[|kɑːmprəmaɪz] 	:	1.명사 타협[절충](내용) After lengthy talks the two sides finally reached a compromise.  오랜 회담 끝에 양측이 마침내 타협에 이르렀다.  2.명사 절충해서 나온 것[중간물] This model represents the best compromise between price and quality.  이 모델은 가격과 품질을 최고로 절충해 놓은 것이다.  3.명사 타협[절충](행위) Compromise is an inevitable part of life.  타협은 삶의 불가피한 요소이다.
snatch 	[snӕtʃ] 	:	1.타동사 2.타동사 와락 붙잡다, 잡아채다, 잡아뺏다, 움켜쥐다, 강탈하다 ((up, down, away, off, from)) The cat snatched the chicken and ran away.  고양이가 병아리를 잡아채어 도망쳤다.  3.타동사 (이 세상으로부터) 급히 빼앗아 가다, 자취를 없애다, 죽이다 ((away, from)) He was snatched away by premature death.  그는 갑자기 요절했다.
bleep 	[bliːp] 	:	1.명사 (전자 장치에서 나는) 삐 소리 2.동사 삐 소리를 내다 The microwave will bleep when your meal is ready.  요리가 다 되면 전자 렌지가 삐 소리를 낸다.  3.동사 호출기로 호출하다, 삐삐를 치다 Please bleep the doctor on duty immediately.  즉시 당직 의사를 호출해요.
|jet lag 		:	1. 명사 시차증(비행기를 이용한 장거리 여행 시 시차로 인한 피로감)
